grupo,traco,classificacao
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Alta
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
1,neuroticismo,Baixa
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Baixa
1,amabilidade,Baixa
1,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Alta
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Alta
1,amabilidade,Baixa
1,conscienciosidade,Média
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Baixa
1,conscienciosidade,Média
1,neuroticismo,Média
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Baixa
1,conscienciosidade,Baixa
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Baixa
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Baixa
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Baixa
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Média
0,extroversao,Alta
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Baixa
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Baixa
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Baixa
0,neuroticismo,Alta
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Baixa
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Alta
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Alta
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Baixa
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Baixa
0,neuroticismo,Alta
0,extroversao,Alta
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Alta
0,abertura,Baixa
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Baixa
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Alta
0,abertura,Média
0,amabilidade,Baixa
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Baixa
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Alta
0,abertura,Alta
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Baixa
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Baixa
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Média
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Baixa
0,conscienciosidade,Média
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Baixa
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Baixa
1,amabilidade,Baixa
1,conscienciosidade,Baixa
1,neuroticismo,Média
1,extroversao,Média
1,abertura,Baixa
1,amabilidade,Baixa
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Baixa
1,amabilidade,Alta
1,conscienciosidade,Baixa
1,neuroticismo,Média
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Média
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Média
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Baixa
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Média
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Baixa
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Alta
1,amabilidade,Média
1,conscienciosidade,Alta
1,neuroticismo,Média
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Média
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Alta
1,abertura,Baixa
1,amabilidade,Média
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Média
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Média
1,amabilidade,Média
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Alta
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Alta
1,abertura,Alta
1,amabilidade,Média
1,conscienciosidade,Média
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Alta
1,amabilidade,Baixa
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Média
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Alta
1,abertura,Baixa
1,amabilidade,Média
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Alta
1,conscienciosidade,Média
1,neuroticismo,Média
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Média
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Alta
1,amabilidade,Média
1,conscienciosidade,Média
1,neuroticismo,Baixa
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Média
1,conscienciosidade,Média
1,neuroticismo,Baixa
1,extroversao,Baixa
1,abertura,Alta
1,amabilidade,Baixa
1,conscienciosidade,Média
1,neuroticismo,Média
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Média
1,conscienciosidade,Alta
1,neuroticismo,Baixa
1,extroversao,Alta
1,abertura,Alta
1,amabilidade,Média
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Baixa
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Baixa
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Baixa
1,amabilidade,Baixa
1,conscienciosidade,Baixa
1,neuroticismo,Média
1,extroversao,Alta
1,abertura,Alta
1,amabilidade,Alta
1,conscienciosidade,Baixa
1,neuroticismo,Média
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Alta
1,conscienciosidade,Baixa
1,neuroticismo,Baixa
1,extroversao,Média
1,abertura,Baixa
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Média
1,extroversao,Média
1,abertura,Média
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Média
1,amabilidade,Média
1,conscienciosidade,Média
1,neuroticismo,Alta
1,extroversao,Alta
1,abertura,Alta
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Alta
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Média
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Média
1,conscienciosidade,Média
1,neuroticismo,Média
1,extroversao,Média
1,abertura,Baixa
1,amabilidade,Média
1,conscienciosidade,Baixa
1,neuroticismo,Média
1,extroversao,Média
1,abertura,Alta
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Média
1,extroversao,Média
1,abertura,Média
1,amabilidade,Média
1,conscienciosidade,Média
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Baixa
1,conscienciosidade,Média
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Alta
1,conscienciosidade,Média
1,neuroticismo,Média
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Média
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Alta
1,abertura,Baixa
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Média
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Média
1,conscienciosidade,Baixa
1,neuroticismo,Baixa
1,extroversao,Baixa
1,abertura,Baixa
1,amabilidade,Média
1,conscienciosidade,Baixa
1,neuroticismo,Média
1,extroversao,Média
1,abertura,Alta
1,amabilidade,Baixa
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Alta
1,amabilidade,Baixa
1,conscienciosidade,Baixa
1,neuroticismo,Média
1,extroversao,Média
1,abertura,Baixa
1,amabilidade,Alta
1,conscienciosidade,Média
1,neuroticismo,Baixa
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Baixa
1,conscienciosidade,Baixa
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Baixa
1,amabilidade,Baixa
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Alta
1,abertura,Baixa
1,amabilidade,Baixa
1,conscienciosidade,Média
1,neuroticismo,Média
1,extroversao,Média
1,abertura,Alta
1,amabilidade,Alta
1,conscienciosidade,Média
1,neuroticismo,Baixa
1,extroversao,Média
1,abertura,Alta
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Média
1,extroversao,Alta
1,abertura,Alta
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Baixa
1,abertura,Alta
1,amabilidade,Média
1,conscienciosidade,Baixa
1,neuroticismo,Baixa
1,extroversao,Média
1,abertura,Média
1,amabilidade,Baixa
1,conscienciosidade,Alta
1,neuroticismo,Média
1,extroversao,Média
1,abertura,Alta
1,amabilidade,Alta
1,conscienciosidade,Alta
1,neuroticismo,Alta
1,extroversao,Média
1,abertura,Baixa
1,amabilidade,Média
1,conscienciosidade,Baixa
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Alta
0,abertura,Alta
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Baixa
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Alta
1,neuroticismo,Baixa
1,extroversao,Baixa
1,abertura,Média
1,amabilidade,Média
1,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Média
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Média
0,extroversao,Alta
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Alta
0,abertura,Baixa
0,amabilidade,Baixa
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Alta
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Baixa
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Média
0,extroversao,Alta
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Baixa
0,neuroticismo,Média
0,extroversao,Alta
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Alta
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Alta
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Baixa
1,neuroticismo,Baixa
1,extroversao,Baixa
1,abertura,Alta
1,amabilidade,Média
1,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Baixa
0,conscienciosidade,Média
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Alta
0,abertura,Baixa
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Baixa
0,neuroticismo,Alta
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Alta
0,neuroticismo,Alta
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Alta
0,abertura,Alta
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Alta
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Média
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Alta
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Alta
0,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Média
0,amabilidade,Alta
0,conscienciosidade,Alta
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Alta
0,amabilidade,Baixa
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Alta
0,abertura,Alta
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Média
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Baixa
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Média
0,neuroticismo,Baixa
0,extroversao,Média
0,abertura,Média
0,amabilidade,Média
0,conscienciosidade,Alta
0,neuroticismo,Média
0,extroversao,Baixa
0,abertura,Baixa
0,amabilidade,Baixa
0,conscienciosidade,Baixa
0,neuroticismo,Alta
0,extroversao,Média
0,abertura,Média
